"ATTITUDE {time_boot_ms : 685757429, roll : -0.142227217555, pitch : -0.101802937686, yaw : 2.12198853493, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685807288, roll : -0.142188876867, pitch : -0.101787917316, yaw : 2.12234067917, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685857241, roll : -0.142141118646, pitch : -0.101783886552, yaw : 2.12263941765, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685907214, roll : -0.142158254981, pitch : -0.101778961718, yaw : 2.12293958664, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685957125, roll : -0.142168208957, pitch : -0.101766891778, yaw : 2.12329125404, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686007121, roll : -0.142181351781, pitch : -0.101759307086, yaw : 2.12359070778, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686057039, roll : -0.142140269279, pitch : -0.101804859936, yaw : 2.12389779091, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686106981, roll : -0.142150655389, pitch : -0.101801902056, yaw : 2.12419700623, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686156803, roll : -0.142163604498, pitch : -0.101791255176, yaw : 2.12449645996, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686206839, roll : -0.142173275352, pitch : -0.101777888834, yaw : 2.12484836578, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686256749, roll : -0.142191946507, pitch : -0.101757898927, yaw : 2.12520074844, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686306730, roll : -0.142206698656, pitch : -0.10174626112, yaw : 2.1255531311, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686356582, roll : -0.142222747207, pitch : -0.101731345057, yaw : 2.12590551376, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686406527, roll : -0.142178982496, pitch : -0.101720705628, yaw : 2.12625718117, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686456396, roll : -0.142192959785, pitch : -0.1017614007, yaw : 2.1266169548, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686506295, roll : -0.142203003168, pitch : -0.101761825383, yaw : 2.1269159317, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686556286, roll : -0.14221765101, pitch : -0.101751834154, yaw : 2.12726831436, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686606199, roll : -0.142235085368, pitch : -0.101734653115, yaw : 2.12762069702, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686656154, roll : -0.142188817263, pitch : -0.101714417338, yaw : 2.12797212601, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686706055, roll : -0.142204493284, pitch : -0.101753249764, yaw : 2.12833213806, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686756005, roll : -0.142223194242, pitch : -0.101798571646, yaw : 2.12869215012, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686805967, roll : -0.142187297344, pitch : -0.101783618331, yaw : 2.12904477119, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686855840, roll : -0.142200857401, pitch : -0.101770624518, yaw : 2.12939691544, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686905792, roll : -0.142213091254, pitch : -0.101752206683, yaw : 2.12974882126, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686955703, roll : -0.1422226578, pitch : -0.101748436689, yaw : 2.13004827499, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 687005902, roll : -0.142181947827, pitch : -0.101730629802, yaw : 2.13040018082, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 687055654, roll : -0.142192065716, pitch : -0.101719118655, yaw : 2.1307516098, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 687105540, roll : -0.142207145691, pitch : -0.101705215871, yaw : 2.13110399246, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 687155439, roll : -0.142168954015, pitch : -0.10168800503, yaw : 2.13145637512, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 687205363, roll : -0.142132386565, pitch : -0.101672150195, yaw : 2.1318089962, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 687255381, roll : -0.142142042518, pitch : -0.101719133556, yaw : 2.13211560249, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 687305210, roll : -0.142152965069, pitch : -0.101700246334, yaw : 2.13246750832, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
